date,bi_rate
18-12-24,0.06
20-11-24,0.06
16-10-24,0.06
18-09-24,0.06
21-08-24,0.0625
17-07-24,0.0625
20-06-24,0.0625
22-05-24,0.0625
24-04-24,0.0625
20-03-24,0.06
21-02-24,0.06
17-01-24,0.06
21-12-23,0.06
23-11-23,0.06
19-10-23,0.06
21-09-23,0.0575
24-08-23,0.0575
25-07-23,0.0575
22-06-23,0.0575
25-05-23,0.0575
18-04-23,0.0575
16-03-23,0.0575
16-02-23,0.0575
19-01-23,0.0575
22-12-22,0.055
17-11-22,0.0525
20-10-22,0.0475
22-09-22,0.0425
23-08-22,0.0375
21-07-22,0.035
23-06-22,0.035
24-05-22,0.035
19-04-22,0.035
17-03-22,0.035
10-02-22,0.035
20-01-22,0.035
16-12-21,0.035
18-11-21,0.035
19-10-21,0.035
21-09-21,0.035
19-08-21,0.035
22-07-21,0.035
17-06-21,0.035
25-05-21,0.035
20-04-21,0.035
18-03-21,0.035
18-02-21,0.035
21-01-21,0.0375
17-12-20,0.0375
19-11-20,0.0375
13-10-20,0.04
17-09-20,0.04
19-08-20,0.04
16-07-20,0.04
18-06-20,0.0425
19-05-20,0.045
14-04-20,0.045
19-03-20,0.045
20-02-20,0.0475
23-01-20,0.05
