year,sex,age,mortality_rate
1950,Male,0,0.22851481
1950,Female,0,0.18515755
1950,Male,1,0.06934878
1950,Female,1,0.06305755
1950,Male,2,0.04472443
1950,Female,2,0.04121402
1950,Male,3,0.02917768
1950,Female,3,0.02723522
1950,Male,4,0.01949143
1950,Female,4,0.0184109
1950,Male,5,0.01350639
1950,Female,5,0.01289035
1950,Male,6,0.00982375
1950,Female,6,0.00946118
1950,Male,7,0.00757095
1950,Female,7,0.00734907
1950,Male,8,0.00618988
1950,Female,8,0.00605545
1950,Male,9,0.00535805
1950,Female,9,0.00528934
1950,Male,10,0.00487452
1950,Female,10,0.00486876
1950,Male,11,0.00462091
1950,Female,11,0.00468828
1950,Male,12,0.0045295
1950,Female,12,0.00468216
1950,Male,13,0.0045611
1950,Female,13,0.00480778
1950,Male,14,0.00470308
1950,Female,14,0.00503509
1950,Male,15,0.00495415
1950,Female,15,0.00533722
1950,Male,16,0.0053221
1950,Female,16,0.00568883
1950,Male,17,0.00581919
1950,Female,17,0.00606187
1950,Male,18,0.00644191
1950,Female,18,0.00643226
1950,Male,19,0.00716521
1950,Female,19,0.00677642
1950,Male,20,0.00791818
1950,Female,20,0.0070811
1950,Male,21,0.00858982
1950,Female,21,0.00733824
1950,Male,22,0.0090803
1950,Female,22,0.00754921
1950,Male,23,0.00931871
1950,Female,23,0.00772072
1950,Male,24,0.00932332
1950,Female,24,0.00786607
1950,Male,25,0.00917157
1950,Female,25,0.00800132
1950,Male,26,0.00896344
1950,Female,26,0.00814241
1950,Male,27,0.00880065
1950,Female,27,0.00830384
1950,Male,28,0.00873448
1950,Female,28,0.00848919
1950,Male,29,0.00878298
1950,Female,29,0.00869635
1950,Male,30,0.00893375
1950,Female,30,0.0089121
1950,Male,31,0.00914879
1950,Female,31,0.00911899
1950,Male,32,0.00939487
1950,Female,32,0.00930561
1950,Male,33,0.00964307
1950,Female,33,0.00946531
1950,Male,34,0.00988244
1950,Female,34,0.00960794
1950,Male,35,0.01012297
1950,Female,35,0.0097514
1950,Male,36,0.01038064
1950,Female,36,0.00991606
1950,Male,37,0.01067729
1950,Female,37,0.01012161
1950,Male,38,0.01102455
1950,Female,38,0.01036756
1950,Male,39,0.01141904
1950,Female,39,0.01064068
1950,Male,40,0.01184799
1950,Female,40,0.01090909
1950,Male,41,0.01228529
1950,Female,41,0.01113123
1950,Male,42,0.0127105
1950,Female,42,0.0112862
1950,Male,43,0.01311715
1950,Female,43,0.01136997
1950,Male,44,0.01351348
1950,Female,44,0.01141846
1950,Male,45,0.01393339
1950,Female,45,0.01149116
1950,Male,46,0.01441391
1950,Female,46,0.01165044
1950,Male,47,0.01499006
1950,Female,47,0.01196003
1950,Male,48,0.01568455
1950,Female,48,0.01244602
1950,Male,49,0.01648632
1950,Female,49,0.01310765
1950,Male,50,0.0173691
1950,Female,50,0.0139059
1950,Male,51,0.01828077
1950,Female,51,0.01476425
1950,Male,52,0.01917175
1950,Female,52,0.01562023
1950,Male,53,0.02003106
1950,Female,53,0.01642845
1950,Male,54,0.02087406
1950,Female,54,0.0172065
1950,Male,55,0.02177921
1950,Female,55,0.01803542
1950,Male,56,0.02284339
1950,Female,56,0.01902168
1950,Male,57,0.02415694
1950,Female,57,0.02029825
1950,Male,58,0.02580248
1950,Female,58,0.02195366
1950,Male,59,0.02778761
1950,Female,59,0.0240229
1950,Male,60,0.03008377
1950,Female,60,0.0264703
1950,Male,61,0.03259963
1950,Female,61,0.02915571
1950,Male,62,0.03521277
1950,Female,62,0.03193035
1950,Male,63,0.0378675
1950,Female,63,0.03466205
1950,Male,64,0.04055069
1950,Female,64,0.03732026
1950,Male,65,0.04337875
