Sex,Age,Value
Male,45,2013106
Male,46,1965078
Male,47,1918556
Male,48,1880902
Male,49,1836713
Male,50,1801360
Male,51,1765731
Male,52,1718640
Male,53,1676588
Male,54,1633166
Male,55,1581724
Male,56,1526844
Male,57,1472785
Male,58,1411117
Male,59,1343409
Male,60,1277749
Female,45,1972784
Female,46,1932220
Female,47,1893744
Female,48,1864289
Female,49,1827436
Female,50,1798979
Female,51,1770369
Female,52,1730316
Female,53,1695449
Female,54,1659434
Female,55,1615725
Female,56,1568740
Female,57,1522468
Female,58,1468913
Female,59,1409250
Female,60,1350736
